Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Security_Index
0.001316181;0.001621329;3.31e-05;0.000459561;0.751327579 
0.001316181;0.001621329;3.31e-05;0.000459561;0.751327579 
0.001319858;0.001625006;3.31e-05;0.000452208;0.751379393 
0.001316181;0.001613977;3.31e-05;0.000455884;0.751353486 
0.001316181;0.001613977;3.31e-05;0.000455884;0.751353486 
0.001345593;0.001628682;3.31e-05;0.000463237;0.751301672 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002099272;0.002680157;5.51e-05;0.00060662;0.750291302 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002110302;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002110302;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002110302;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002110302;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002128684;0.002720598;6.25e-05;0.000617649;0.741893304 
0.002139714;0.002731628;6.25e-05;0.000617649;0.741893304 
0.002139714;0.002731628;6.25e-05;0.000617649;0.741893304 
0.002139714;0.002731628;6.25e-05;0.000617649;0.741893304 
0.002139714;0.002731628;6.25e-05;0.000617649;0.741893304 
0.002180155;0.002779422;6.99e-05;0.000628679;0.730644682 
0.002180155;0.002779422;6.99e-05;0.000628679;0.730644682 
0.00221692;0.002816187;6.99e-05;0.000628679;0.730644682 
0.00221692;0.002816187;6.99e-05;0.000628679;0.730644682 
0.00221451;0.002813125;6.98e-05;0.000627995;0.730649866 
0.00221451;0.002816798;6.98e-05;0.000627995;0.730649866 
0.00221451;0.002816798;6.98e-05;0.000627995;0.730649866 
0.00221451;0.002816798;6.98e-05;0.000627995;0.730649866 
0.002221855;0.002824143;6.98e-05;0.000631668;0.730623987 
0.002221855;0.002824143;6.98e-05;0.000631668;0.730623987 
0.002221855;0.002824143;6.98e-05;0.000631668;0.730623987 
0.002221855;0.002824143;6.98e-05;0.000631668;0.730623987 
0.002221855;0.002824143;6.98e-05;0.00063534;0.730199581 
0.002218182;0.002824143;6.98e-05;0.00063534;0.730199581 
0.00227327;0.002890248;9.55e-05;0.000683083;0.729863157 
0.002284287;0.00290861;9.55e-05;0.0006941;0.729785521 
0.002298977;0.0029233;9.55e-05;0.0006941;0.729785521 
0.00230265;0.002926973;9.55e-05;0.0006941;0.729785521 
0.00230265;0.002926973;0.00010283;0.000697773;0.734851771 
0.00230265;0.002926973;8.81e-05;0.0006941;0.729191861 
0.00230265;0.002926973;8.81e-05;0.0006941;0.729191861 
0.00230265;0.002926973;8.81e-05;0.0006941;0.729191861 
0.00230265;0.002926973;8.81e-05;0.0006941;0.729191861 
0.002442204;0.003062855;9.55e-05;0.0006941;0.729488691 
0.002442204;0.003062855;8.81e-05;0.0006941;0.728895032 
0.002471584;0.00308489;8.81e-05;0.0006941;0.728895032 
0.002478929;0.00308489;8.81e-05;0.0006941;0.728895032 
0.002478929;0.00308489;8.81e-05;0.0006941;0.728895032 
0.002478929;0.00308489;8.81e-05;0.0006941;0.728895032 
0.002489947;0.00309958;8.81e-05;0.0006941;0.728895032 
0.002427514;0.003037147;8.81e-05;0.0006941;0.726902396 
0.002427514;0.003037147;8.81e-05;0.0006941;0.726902396 
0.002427514;0.003037147;8.81e-05;0.0006941;0.726902396 
0.002420169;0.003000422;8.81e-05;0.0006941;0.726902396 
0.002420169;0.003000422;8.81e-05;0.0006941;0.726902396 
0.002420169;0.003000422;8.81e-05;0.0006941;0.726902396 
0.002420169;0.003000422;8.81e-05;0.0006941;0.726902396 
0.002420169;0.003037147;8.81e-05;0.0006941;0.726902396 
0.002420169;0.003037147;8.81e-05;0.0006941;0.726902396 
0.002442204;0.003062855;9.18e-05;0.00070879;0.726103524 
0.002442204;0.003059182;9.18e-05;0.000705118;0.726129403 
0.002460567;0.003081217;9.18e-05;0.00070879;0.726103524 
0.002460567;0.003081217;9.18e-05;0.00070879;0.726103524 
0.002460567;0.003081217;9.18e-05;0.00070879;0.726103524 
0.002486274;0.003106924;9.18e-05;0.00070879;0.726103524 
0.002486274;0.003110597;9.18e-05;0.00070879;0.726103524 
0.002486274;0.003110597;9.18e-05;0.00070879;0.726103524 
0.002486274;0.003110597;9.18e-05;0.00070879;0.726103524 
0.002486274;0.003110597;9.18e-05;0.00070879;0.726103524 
0.002486274;0.003110597;9.18e-05;0.00070879;0.726103524 
0.002460567;0.003081217;9.18e-05;0.00070879;0.726103524 
0.002460567;0.003081217;9.18e-05;0.00070879;0.726103524 
0.002460567;0.003081217;9.18e-05;0.000712463;0.726077646 
0.002460567;0.003081217;9.18e-05;0.000712463;0.726077646 
0.002467912;0.003095907;9.18e-05;0.000712463;0.725679119 
0.002467912;0.003095907;9.18e-05;0.000712463;0.725679119 
0.002603794;0.003235462;9.18e-05;0.000771222;0.724963963 
0.002603794;0.003235462;9.18e-05;0.000771222;0.724963963 
0.002596449;0.003231789;9.18e-05;0.000771222;0.724974815 
0.002603794;0.003239134;9.18e-05;0.000771222;0.724963963 
0.002563396;0.003198737;9.18e-05;0.000760205;0.725499811 
0.002636846;0.003275859;9.55e-05;0.000800602;0.72352078 
0.002666226;0.003305239;9.55e-05;0.000800602;0.723477373 
0.002666226;0.003305239;9.55e-05;0.000800602;0.723477373 
0.002673571;0.003312584;9.55e-05;0.000800602;0.723466521 
0.002809453;0.003492536;9.55e-05;0.000863035;0.721935334 
0.00286454;0.003554968;9.55e-05;0.000896087;0.721222509 
0.002919628;0.003624745;9.55e-05;0.000940157;0.720432047 
0.002919628;0.003624745;9.55e-05;0.000940157;0.720432047 
0.002919628;0.003624745;9.55e-05;0.000940157;0.720432047 
0.002919628;0.003624745;9.55e-05;0.000940157;0.720432047 
0.002919628;0.003624745;9.55e-05;0.000940157;0.720432047 
0.002919628;0.003624745;9.55e-05;0.000940157;0.720432047 
0.002919628;0.003624745;9.55e-05;0.000940157;0.720432047 
0.002941663;0.003635763;9.92e-05;0.000925467;0.719213991 
0.00293799;0.00363209;9.92e-05;0.000932812;0.719167659 
0.002974715;0.003650453;0.00010283;0.000921794;0.714682917 
0.001906021;0.00230265;6.61e-05;0.000697773;0.728173796 
0.001920711;0.002309995;6.61e-05;0.000719808;0.728018523 
0.001880314;0.002262252;7.34e-05;0.000741842;0.728660305 
0.001869296;0.002251235;7.71e-05;0.000716135;0.728544627 
0.002971042;0.003650453;0.00010283;0.000925467;0.715060991 
0.001869296;0.002251235;7.71e-05;0.000716135;0.728544627 
0.001869296;0.002251235;7.71e-05;0.000716135;0.728544627 
0.001869296;0.002251235;7.71e-05;0.000716135;0.728544627 
0.001869296;0.002251235;7.71e-05;0.000716135;0.728544627 
0.001869296;0.002251235;7.71e-05;0.000716135;0.728544627 
0.001869296;0.002251235;7.71e-05;0.000716135;0.728544627 
0.001869296;0.002251235;7.71e-05;0.000716135;0.728544627 
0.001880314;0.002262252;7.71e-05;0.000716135;0.728544627 
0.001880314;0.002262252;7.71e-05;0.000716135;0.728544627 
0.001876641;0.00225858;7.71e-05;0.000716135;0.728544627 
0.001876641;0.00225858;7.71e-05;0.000716135;0.728544627 
0.001876641;0.00225858;7.71e-05;0.000716135;0.728544627 
0.001876641;0.00225858;7.71e-05;0.000716135;0.728544627 
0.002971042;0.003650453;0.00010283;0.000925467;0.715060991 
0.001876641;0.00225858;7.71e-05;0.000716135;0.728544627 
0.001876641;0.00225858;7.71e-05;0.000716135;0.728544627 
0.001872969;0.002254907;7.71e-05;0.00072348;0.728094342 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.000954847;0.001171524;3.31e-05;0.000201987;0.753121795 
0.003050641;0.003705963;0.000101688;0.000711816;0.737800712 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.001869296;0.002240217;7.71e-05;0.000719808;0.728120221 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.003174926;0.003841547;0.000101688;0.000723115;0.7252765 
0.003762457;0.004429078;0.000124285;0.000915192;0.717468566 
0.003739859;0.004440377;0.000124285;0.000903894;0.718807667 
0.003830249;0.004530766;0.000124285;0.000903894;0.718674121 
0.003830249;0.004530766;0.000124285;0.000903894;0.718674121 
0.00381895;0.004519468;0.000124285;0.000903894;0.718690814 
0.00381895;0.004519468;0.000124285;0.000903894;0.718690814 
0.00381895;0.004519468;0.000124285;0.000903894;0.718690814 
0.003807651;0.004508169;0.000124285;0.000915192;0.719541107 
0.003807651;0.004508169;0.000124285;0.000915192;0.719541107 
0.003807651;0.004508169;0.000124285;0.000915192;0.719541107 
0.003830249;0.004530766;0.000124285;0.000915192;0.719507721 
0.003830249;0.004530766;0.000124285;0.000915192;0.719507721 
0.003909339;0.004643753;0.000124285;0.000915192;0.719390868 
0.003909339;0.004643753;0.000124285;0.000915192;0.719390868 
0.003931937;0.004677649;0.000124285;0.000915192;0.719357482 
0.003931937;0.004677649;0.000124285;0.000915192;0.719357482 
0.004022326;0.00475674;0.000124285;0.000915192;0.719223936 
0.004349988;0.005061804;0.000124285;0.000960387;0.713516974 
0.004349988;0.005073102;0.000135584;0.000982984;0.711465055 
0.001872969;0.00225858;7.71e-05;0.000719808;0.728120221 
0.004361286;0.005073102;0.000158181;0.000982984;0.710740947 
0.001792174;0.002174113;6.98e-05;0.000642685;0.741111449 
0.001928056;0.002306322;0.00010283;0.00075286;0.723777719 
0.001942746;0.002321012;0.00010283;0.00075286;0.723379192 
0.001942746;0.002321012;0.00010283;0.00075286;0.723379192 
0.004349988;0.005050505;0.000158181;0.000971686;0.710837258 
0.001942746;0.002321012;0.00010283;0.00075286;0.713379192 
0.001942746;0.002321012;0.00010283;0.00075286;0.713379192 
0.001942746;0.002321012;0.00010283;0.00075286;0.713379192 
0.001942746;0.002324685;0.00010283;0.00075286;0.713379192 
0.001942746;0.002324685;0.00010283;0.00075286;0.713379192 
0.003532933;0.004300483;0.000161589;0.001182541;0.718272147 